lng,lat,distance,time
105.044136708,27.4125489321,89597,10631
105.044135747,27.432546657,86518,10257
105.044134786,27.4525447081,83775,9971
105.044133824,27.472543091,83033,10171
105.044132862,27.4925418093,85512,9784
105.044131899,27.5125408649,77845,8831
105.044130935,27.5325402578,77824,9049
105.04412997,27.5525399862,85697,10314
105.044129004,27.5725400464,80170,9523
105.044128038,27.5925404331,81357,9703
105.044127071,27.612541139,74423,9126
105.044126104,27.6325421551,78526,8515
105.044125135,27.6525434708,74763,8330
105.044124166,27.6725450737,71079,8090
105.044123196,27.6925469499,74453,8657
105.044122226,27.7125490837,79500,8578
105.044121254,27.7325514581,67169,8422
105.044120282,27.7525540547,82688,8151
105.04411931,27.7725568535,75281,7459
105.044118336,27.7925598335,72215,7509
105.044117362,27.8125629722,70505,7307
105.044116387,27.8325662463,65360,6232
105.044115411,27.8525696313,64827,6168
105.044114435,27.8725731018,67626,6320
105.044113458,27.8925766317,75434,7202
105.04411248,27.912580194,78059,7407
105.044111501,27.9325837613,81705,7995
105.044110522,27.9525873056,86029,8429
105.044109542,27.9725907986,92383,9356
105.044108561,27.9925942117,101144,10492
105.044107579,28.0125975162,106374,10300
105.044106597,28.0326006833,100660,9583
105.044105614,28.0526036844,101836,9779
105.04410463,28.072606491,147559,10974
105.044103645,28.0926090751,149432,11698
105.04410266,28.1126114089,174179,13999
105.044101674,28.1326134654,173037,13743
105.044100687,28.1526152181,150292,11263
105.0440997,28.1726166414,146566,10984
105.044098711,28.1926177104,140948,10379
105.044097722,28.2126184015,142303,10393
105.044096732,28.2326186918,151759,10462
105.044095742,28.2526185599,138417,9751
105.044094751,28.2726179855,143478,9745
105.044093759,28.2926169497,132631,8666
105.064078235,27.3125291324,177143,12752
105.064077266,27.3325253688,184317,13980
105.064076297,27.3525218781,189622,14543
105.064075327,27.3725186743,189998,14541
105.064074356,27.3925157698,191980,14915
105.064073385,27.4125131754,196910,15952
105.064072412,27.4325109,87668,10420
105.064071439,27.4525089509,85144,10212
105.064070466,27.4725073335,81452,9763
105.064069491,27.4925060516,78211,9282
105.064068516,27.5125051069,75279,8847
105.06406754,27.5325044995,74373,8435
105.064066564,27.5525042276,75629,8798
105.064065586,27.5725042876,76560,9438
105.064064608,27.592504674,76218,9313
105.064063629,27.6125053796,71052,8808
105.06406265,27.6325063955,76079,9357
105.064061669,27.652507711,66574,7423
105.064060688,27.6725093136,68356,7760
105.064059707,27.6925111895,71860,7993
105.064058724,27.7125133231,71092,9668
105.064057741,27.7325156973,66230,8323
105.064056757,27.7525182936,60692,7650
105.064055772,27.7725210921,59316,7558
105.064054786,27.7925240719,72181,7121
105.0640538,27.8125272103,68847,6817
105.064052813,27.8325304842,68208,6792
105.064051825,27.8525338689,62176,5787
105.064050837,27.8725373392,63564,5908
105.064049848,27.8925408688,72172,6723
105.064048858,27.9125444308,78766,7395
105.064047867,27.9325479978,78974,7591
105.064046875,27.9525515419,87961,8736
105.064045883,27.9725550346,86418,8343
105.06404489,27.9925584475,105925,10176
105.064043896,28.0125617517,106904,10490
105.064042902,28.0325649186,103480,9747
105.064041906,28.0525679194,104908,10220
105.06404091,28.0725707258,144959,10460
105.064039914,28.0925733096,149512,11737
105.064038916,28.1125756432,175656,14157
105.064037918,28.1325776994,139509,10732
105.064036919,28.1525794518,142811,10506
105.064035919,28.1725808749,141333,10372
105.064034918,28.1925819436,137835,9881
105.064033917,28.2125826344,141056,10230
105.064032915,28.2325829245,147562,9963
105.064031912,28.2525827923,134539,9142
105.064030908,28.2725822177,131769,8662
105.064029904,28.2925811816,129332,8449
105.084034019,27.312510291,178816,12850
105.084033042,27.3325065271,183005,13942
105.084032064,27.3525030361,186788,14789
105.084031086,27.372499832,195865,15622
105.084030107,27.3924969272,193454,14978
105.084029127,27.4124943324,198171,16146
105.084028146,27.4324920567,90634,10758
105.084027165,27.4524901073,86029,10508
105.084026183,27.4724884896,82315,9818
105.0840252,27.4924872074,80706,9637
105.084024216,27.5124862624,73832,8750
105.084023232,27.5324856548,70644,8134
105.084022247,27.5524853826,71560,8250
105.084021261,27.5724854422,68895,8330
105.084020275,27.5924858283,69910,8380
105.084019287,27.6124865336,69458,8275
105.084018299,27.6324875492,62277,7474
105.084017311,27.6524888643,63805,7173
105.084016321,27.6724904667,69164,7829
105.084015331,27.6924923423,63569,8662
105.08401434,27.7124944755,67905,9324
105.084013348,27.7324968494,72918,9130
105.084012355,27.7524994454,57335,7693
105.084011362,27.7725022437,57107,7349
105.084010368,27.7925052231,73129,7216
105.084009373,27.8125083613,73404,7226
105.084008378,27.8325116348,75087,7392
105.084007381,27.8525150192,60007,5577
105.084006384,27.8725184892,65085,6201
105.084005386,27.8925220185,90075,9010
105.084004388,27.9125255802,78308,7369
105.084003389,27.9325291469,80049,7609
105.084002388,27.9525326907,90495,8923
