ox,oy,dx,dy,distance,time
105.427217,27.789296,105.007217,27.809296,71492,6905
105.427217,27.789296,105.007217,27.829296,70208,8260
105.427217,27.789296,105.007217,27.849296,78773,10143
105.427217,27.789296,105.007217,27.869296,86037,8715
105.427217,27.789296,105.007217,27.889296,88554,8988
105.427217,27.789296,105.007217,27.909296,86834,8861
105.427217,27.789296,105.007217,27.929296,88937,9047
105.427217,27.789296,105.007217,27.949296,87365,9072
105.427217,27.789296,105.007217,27.969296,98446,9927
105.427217,27.789296,105.007217,27.989296,92139,9076
105.427217,27.789296,105.007217,28.009296,98159,9646
105.427217,27.789296,105.007217,28.029296,103767,10264
105.427217,27.789296,105.007217,28.049296,107866,10647
105.427217,27.789296,105.007217,28.069296,179252,14741
105.427217,27.789296,105.007217,28.089296,173053,14289
105.427217,27.789296,105.007217,28.109296,170722,13774
105.427217,27.789296,105.007217,28.129296,170092,13402
105.427217,27.789296,105.007217,28.149296,152165,11503
105.427217,27.789296,105.007217,28.169296,153484,11789
105.427217,27.789296,105.007217,28.189296,148538,11893
105.427217,27.789296,105.007217,28.209296,149772,12172
105.427217,27.789296,105.007217,28.229296,159298,11157
105.427217,27.789296,105.007217,28.249296,155822,11352
105.427217,27.789296,105.007217,28.269296,143498,9631
105.427217,27.789296,105.007217,28.289296,139122,8860
105.427217,27.789296,105.027217,27.309296,183459,13557
105.427217,27.789296,105.027217,27.329296,184814,13819
105.427217,27.789296,105.027217,27.349296,186715,14168
105.427217,27.789296,105.027217,27.369296,189714,14672
105.427217,27.789296,105.027217,27.389296,193262,15267
105.427217,27.789296,105.027217,27.409296,91650,10777
105.427217,27.789296,105.027217,27.429296,88321,10564
105.427217,27.789296,105.027217,27.449296,86872,10312
105.427217,27.789296,105.027217,27.469296,90721,10375
105.427217,27.789296,105.027217,27.489296,84618,9517
105.427217,27.789296,105.027217,27.509296,80290,9135
105.427217,27.789296,105.027217,27.529296,82472,9808
105.427217,27.789296,105.027217,27.549296,86261,10283
105.427217,27.789296,105.027217,27.569296,82950,9938
105.427217,27.789296,105.027217,27.589296,88103,9482
105.427217,27.789296,105.027217,27.609296,85022,8966
105.427217,27.789296,105.027217,27.629296,82346,8778
105.427217,27.789296,105.027217,27.649296,77575,8626
105.427217,27.789296,105.027217,27.669296,77810,8876
105.427217,27.789296,105.027217,27.689296,74885,8507
105.427217,27.789296,105.027217,27.709296,79559,9612
105.427217,27.789296,105.027217,27.729296,86490,8804
105.427217,27.789296,105.027217,27.749296,80760,7898
105.427217,27.789296,105.027217,27.769296,77144,7607
105.427217,27.789296,105.027217,27.789296,76417,7608
105.427217,27.789296,105.027217,27.809296,73938,7237
105.427217,27.789296,105.027217,27.829296,68529,6650
105.427217,27.789296,105.027217,27.849296,67062,6492
105.427217,27.789296,105.027217,27.869296,83430,13357
105.427217,27.789296,105.027217,27.889296,83369,8043
105.427217,27.789296,105.027217,27.909296,84104,9061
105.427217,27.789296,105.027217,27.929296,84882,8642
105.427217,27.789296,105.027217,27.949296,85931,8609
105.427217,27.789296,105.027217,27.969296,88044,8586
